Restaurant ID,Restaurant Name,Segment
67ae0dd0fe7ccc38e99a8700,TACOS DORE,Rising Star
630cdb143f17e5e8be674a69,Abtal Cham,Rising Star
6939308e3ac4caa91ac6d700,Snack Achkid,Rising Star
65314af2a930a58856163a1a,Paninos,Rising Star
604231801fc91ce4197411f3,Solidarité Féminine Palmier,Rising Star
64d35535556e6a12f4464386,LE PANINI,Rising Star
649016467cdb817af5cd62fd,Restaurant Al Bahja,Rising Star
66cdb646926278da27236453,Fritacos,Rising Star
64d22f4825ef2d37534cb5d5,DELICE FOOD,Rising Star
6491b9cfb1bb618ccf9e690e,POKEMON,Rising Star
69ca5c2e4f8f8ed4e5213e37,Streat Kebab,Rising Star
681b23685721c6cbd970ae7e,restaurant moon,Rising Star
681b787a35cb46eaba6f00f2,moon plaza,Rising Star
64be79c5ca97b44716106d8c,Chhiwa Hay Salam,Rising Star
64c7d6a3c353f1259f7a7959,chhiwa ouad addahab,Rising Star
691c979cbbc999ee8c0d1d22,Asmak Cherkaoui,Rising Star
68540f73fa14f479e674f906,Indian Flavors,Rising Star
63ee4afac7f9509b1b3f14cc,Barbecue Agdal,Rising Star
6810a4f60c89ce1b7715ee6b,La Bonne Brochette,Rising Star
64a53c8b18a9df430eeb5cdc,Snack Lwalida,Rising Star
67812322fa53872a86663532,Delish Bun,Rising Star
653003881254e9c23d6aca7d,Le Saphir,Rising Star
686d2ed13f4e5179dd1e14e5,Yakuza Sushi,Rising Star
698853914d05a069256df3ee,Sushi Best,Rising Star
698853914d05a069256df3ee,Sushi Best,Rising Star
69429b1e72f6161b80251350,La Casa Grande,Rising Star
6489899799515476a452e1da,TOP SUSHI,Rising Star
6a0312556a6e0ad5ebae3831,BUNNIE'S,Rising Star
6177c5a784877d025b775113,Rapido Pizza,Rising Star
6772ae49f1ca0f4081566324,GHAZAL FOOD,Rising Star
62ff5602694cd643ce866d8b,ANOUAR BAALABAK,Rising Star
659bc3c24942a4b650863a35,Snack Moul Niya,Rising Star
633ffcc8660ccfcf73b41c1a,La Framboise,Rising Star
6975d0bdfb4b029124925ddc,Fresh Fish Market,Rising Star
649036b11d3a04b6a2130ffb,Snack Abdellah,Rising Star
696e3e4628070a405d77ec59,Snack Lagza,Rising Star
651ad498b9ad7f2cc1999692,Saziaré,Rising Star
687f6efdb4715f0d56b5f1f5,O'bled,Rising Star
695e68db8eff7f30655c8ece,Super Tonton,Rising Star
69f0a3018a5f7d7238108dd6,Cocorico Roti,Rising Star
694164266c8eb3510239136f,Fast Food & Jus,Rising Star
681b383dd75b805fd3afa1c4,Sweet Stoune,Rising Star
675853a06d1e7f64c91678ba,Mawaid Chabab,Rising Star
6a0d9803cd3e016bd850a2e8,FISH ROYAL,Rising Star
6538d4a7dc0665f708b3d8c1,Mustapha Food,Rising Star
695f65213c8bdf7d2235693a,Joy Food,Rising Star
66c613777f6d06af18925012,Yone Restaurant,Rising Star
640eecdc68edb2265d26d20a,Sushi Yanyan Prestigia,Rising Star
637b42d22433ed321cc7dadd,Golden pizza & sushi,Rising Star
672cde698cc245b2cd3d816b,Chicken Time,Rising Star
671f8927200f762a13103719,Quick Kebab,Rising Star
65314787e8335958e9127564,Chizza Mia,Rising Star
6553424a1ac8d83513c3be2a,Maison Tijani,Rising Star
65e583465091704be270c126,J&J Food,Rising Star
68e7d07ad6a3328c1b0638a1,crusty agadir hay al mohamadi,Rising Star
68e7d6c51f18ab2459758ad4,crusty agadir hay salam,Rising Star
68efb3a6793468201ac4d4af,crusty -  marrakech,Rising Star
6914b764186d0570dfa28356,crusty - casablanca,Rising Star
6914b85eaa066e797f94b152,crusty -  rabat,Rising Star
6914bb8c1ea48fbc309e0641,panda,Rising Star
678910e0635c063b5a0bcdcd,ITALIAMORE,Rising Star
6458dabfdf1ddbe916682ad0,La table du burger,Rising Star
69f328c9dcb7aa0fe47df960,bocadillo factory al izdihar,Rising Star
69f3304ebc6c2976c598e5a3,bocadillo factory gueliz,Rising Star
67fd1a3fd2910619bcbcbd80,louai's agdal,Rising Star
657823b22fb27a6abdc0c0da,louai's carrousel,Rising Star
68e769a7091a2d77d2e65d17,between the buns,Rising Star
68e769a7091a2d77d2e65d17,between the buns,Rising Star
