Restaurant Name,Restaurant ID
Foodoir Jap Gourmet,69e1ffc1aa3096095d9e3022
Belati Brunch & Coffee,6a0590c0b4d6eb0954761191
DAR SAHA,69b66bb1be6f326051940414
Tacos Canyada,69d90eb6248ded251ec764bb
Jeff de Bruges Almelia,69e73fafdff0928c290d739a
The Box Maitre Pizzaiolo,69e627dd09b4ec241aacad64
Clap The Sandwich,69ef7def8dbb43af20179267
chickandy sup de co,6a301d61a6ec2a06b9ed070e
Sushi Wok,66c31b51245c89ed281af379
Rihla Coffee,69b51a168a07150e3be8e5cb
Urban Viet,69d8e41c09e9faf61b723b8c
Fisheo - OASIS,69a940795f7440d631264ebe
Jeff de Bruges Riad,69e7494414013ec838bd3d3b
DevorEat,66c33096de8d86ac9f4e0c1f
Fifties Diner,69e5f45409b4ec241aa9f8e1
Cocorico Roti,69f0a3018a5f7d7238108dd6
La Barquette Gourmande,69dcc686bae1a1d5eed27346
Yathaï,69e210bdc36f182c1d2d31da
Original Krousty,6a2695b3e4cde396fe2e1d0f
Yoshi,69ee175ed30f04581e91153e
Bento box,675b1329b6d12dd609ef3f73
Pizzaland,5f9821aa8f0b86da926f55ee
Regalito,6a0c741cf7ab7b6e6fe760b8
Garden Cham,6a2688de2376b290571c0032
S tacos Carrefour Sale,69f71fffc2c8d5944ee21203
Btb Sweets,69de45f4c6f05db448adb194
DAR TIRAMISU,69b7fed759b1470369ba4b9a
Little Thaï,69dcb3ccdb6cea3b118c06c2
Shawarma Juice Amine,6a0599df25048038958f2d34
Le panier du fermier,6a02f74e14b7512ef6be0f06
Shore Street London,6163f87aa134ba7e6d82e9cf
Dicchi,66d847b27dadd63aef7634b6
BUNNIE'S,6a0312556a6e0ad5ebae3831
Le Saphir,653003881254e9c23d6aca7d
Btb Sweets,69de45f4c6f05db448adb194
Bondi Coffee Kitchen,660ac1bd3ecce631147ddfe9
Albick Broast,69e79a64175cc516f4c5c0fe
Pollito Chicken,69d95da5248ded251ec93889
Fisheo - CIL,69a93d91c7c41b30142f06ce
Rolly,69e87fcbbc6c5b90ea1face3
WOOSHI - SUSHI & THAÏ KITCHEN,69e1f6a9aa3096095d9e1b6d
Ohana,68e7a60bb67cde810401b661
BOPSTER - KOREAN STREET BOWL,69e1e7a6bc6c953d71003e83
Empa'Loka,69e4f2eda6c6449812d67bb4
Tacos City,69d918fa248ded251ec7980f
Master,69d7ae740ba02293b30e8081
KARMA BREAKFAST,69da11c021300d391740f56f
Taopan Sushi,69c8ff14c7391d84fa7b6036
that's eat - urban food,69ef25f129746b54f022bb15
Snack Chadly Grillades,6a0ec1d0477199b2b4b343e0
Cococ Chicken,69e9fc69281fea1403ea55c5
La maison Du Hot Dog,69ca4c02c7391d84fa8b17b9
Restaurant Bassma,69e7915d4c0ff2e47e7947d5
Moul chouaya,69d96efc56fa61178ee4ff9d
Hello Shawarma,6a25604501ab24a6495e9fd6
Clap The Pasta,69f08154d023ef02c69a53f4
Chocolate Gallery Racine,69a811440ea89584a9d98b88
Happy Chicken,6a0f1200e480d0243379728f
Tikita Sushi,6880f7f087a1e22a333180cc
Palais Des Fleurs,69b3f52c3b598f861ed8cf9e
Garden Grill,6a25846e8f6a493c4a29c692
SAVEURS D'ASIE,69db647873b1b30af0a07df8
Grillades Hassan,637b9ba76d0a2727fd8c4494
Fish Royal,6a0d9803cd3e016bd850a2e8
Shawarma Yafa,62cd5ecdb75e6f07421100b4
Pomo Dolce,69e8a0599096999482578f5f
Crusty Crispy Mhamid,69f71fd576224fa25168a2e9
SUSHIN,69c9156b96d3d9c9ffd28cfa
Poka Sushi,69e4ac4ea6c6449812d572ef
pizzeria titryt marrakech,69f72c2f035bfbaff549a4ee
Donuts Factory - Marrakech,6a0c4ed3775d9e87b5b47010
SHAKE BEEF,69d4f617490496063b688a84
Burger Glory,654b8b75d5edee01e0c8497b
Jeff Cafe,69e74b8427fa04fbdaa3b21c
Soya Sushi,6a2952f30406d83988558fb1
Chicken Sweet,69edff53946a25154750e3b7
Crusty Crispy Daoudiat,69f70acf58f330622f830580
ZEN SUSHI,69b7ecd259b1470369b8f88f
Patisserie Hassani,69b7cbb42ececcecd1edf8c4
Eatopia Food,6a0db369ce1300fc900f3574
Nigiri House,69d966300c3d4c34445efc4e
Suké,69dcbd9f403b4c4c21f5fc90
Baba Doner,69ef34b2369ae201e484d11e
Aregato,69e2164caa3096095d9fec3b
Panelo,6a04324bd0a63090d485a931
Oné Là,69b6a8eebe6f32605196b19d
Chocolate Gallery Gauthier,69a8158be2b1a555edb5b202
Seoul chicken,69f1bee8135e2cbfe016acef
