Restaurant Name,Restaurant ID
Napoli Gusto,687fa87785fc6b592aa38bd3
Green & Bnin,69887e196f9d9fba82809961
Win Win Fast Food,65e5849035f08adb6ccfce5c
Viandari Market,65def6c1a9fe2ee83b65ed82
M9Ila 26,692c5d749a433c17f54a40d5
Snack Kamas,6737778bbc726e8b65955c6e
Taco Délice,6852ca3c2677d958320988e8
Amoud Snack,691c2f4d794eabe99c2922c8
Food 88,64ca1660e98955780dfbf91e
Healthy Salade,65202b20b5c82f1fba41ded6
Snack Leader,647718654996d01199bdf9b0
Ines Food,60019a47754b929910fdc6af
Vapelite Fes,6814aaf7365cbd7b82f9d82e
Val Fleuri,69d7a7548117b4ecf1a3e2f9
Chicken Shika,6659eefd2460962c98e42d95
Bacara Healthy Food,6568946973e27dca517995e0
Del Sol Fast Food,69820a228436a30d9a533e05
Kanti Cup,69662d3a8ad3970fcb0bc387
Crep'Eat,66ab56fc85e8bc6d8db1df53
Cactus,63ef3c778da7de0245879803
Cap Gourmet,6852bcde3834603445bcffe9
Le Nautilus,68aee6f8f74608ab5ff9e2b1
Carrion Irfane,67c981d35e891844cf3d5f1e
Miss La Fleuriste,694a703b8b9e1c924721da64
Chef Saad,69660665bb0d9d12ea44f9c2
Crunchy Fatafit,6483045e6e35e4543fda100f
Vita Mia,69720080a016baffe7017c84
Villarrica Grill,635651efe6f8bbeb845a2f76
Noony Coq,6a0c81b5b2bfdad9c66d2fa7
Kumpir Et Alors,66a114abf67a7b23bb2e56a2
Pizzeria Titryt Marrakech,69f72c2f035bfbaff549a4ee
Saykouk Breakfast,6936e396b0a094ad2646494e
Doshift Tech,65e1b97383dfd9f2ee7ccf13
Kababe كَبَابْ,679a4bdbd44bdfd1ea8d80d3
Arij Arraihan,65e581e830b251887a8b27b2
Puerta De Mar,6491a07ac131db5b42f515c9
Pollo Rico,6984bad974d3bbe38282e831
Sushi Land,664e119dbef4494acd494353
Fast Wahib,64d5fed65049ee4d1318b598
An Mini Market,67c1dcf6066ebef15ec4ad07
Rfissa,69f74f06e2d770c109c492ef
Pizza Senatoor,64b504c5ac909e0549306645
Restaurant Jayed,64917946c3db2b714ee63e2d
Resto Crêpes,67f8eaee546a660dfbcd37c2
Chhiwat Al Bahja,68efac50a099dbc70573033e
Bubble King,6319c7eca6dcf41f9174cc8e
Verzatis,697737bd8bc4a96cfd202c52
Au Four A Bois,662b91e76b7f6d0820c75ff9
Restaurant Sky 07,665850fb57ea4ab9b545d5ae
Allo Nem,658308115579367f065261b8
Manipolio,64917370b1bb6162829c2306
Nung Thaï,66a23106f184d4dcfa8ab012
Snack Fahd,649040989527507531a72d4a
Shawarma Taouk,679b6f1528bdbecde7a05f2b
Yalma Boucherie,693567fd1d6cd7b29a561aa4
Shore Street London,6163f87aa134ba7e6d82e9cf
Cuisine Mima,686d150b39a6c34152fe4b6b
Yum Kebab,679cb9d2bf10d93d424c3118
Picardi,664c5a83ea7e1bf7f0533ed1
Sea Food Mqilla,6971ea8ff89ab0c12abd271a
Wino Food,64be5fed133ae111e354bf21
Muscafé Maroc,6979e533e760d3079c14d396
Boca Boom,656896aff48fcd94c437cc6a
Nuija Dar Tajine,65323ac4ea22bc2fc17510cf
Mb Fleuriste,6747405aee89eb76122ad0fd
Chawar'Mama,674714644d10cdd336b80f89
Salade Delivery,6213521c25ba2af9b9b5d353
Tacos Burger City,643562f7490d6e2b29a17d8a
Snack Bacha,67fcddaa898f5d38833820fc
Fruits Secs Anoual,66fd152de6144dcfc6c0b5c5
Hello Pizza,6710d147c961c6a2a2507fd8
Dar Tajine By Tigemi,66abb07a45effc17d4972cc3
La Pizza De New York,69820e66cfe2ca49c46d0930
Hassania Food,66558c47c6e261c9d00a7ac7
So Cheezy,67121beec3a76cf891e15f85
Fleuriste Kenitra,67af2cd5a5cc9af0280d4443
La Casa Del Pollo,637b99c3c6ed402069b4505b
Tony,6970bad53afd67b023036965
Subarashi Sushi,68de87d83eeb5566436edd2d
Sushi Arij,6986fe13f024e8ea28ed70d6
Fleur Fes,66b5fa1643e8591b07884ba8
Sushi Dose,69ef483229746b54f023ba10
Kimbo,678e0ed526610130e5b6e48b
Grillade Le Goût,68f0b1f20d98d841d855b325
Furano Japanese Bakery,690c6b73d77a2227a20931d0
Limoncello,67167a5b57624f10735ee8ae
Fruits Secs Garmllo,67288f8b604b701786ae2612
Yahya Fish,66d1da559a8b5241bfa0c801
Di Capri,68dd3d62d81da873b473bfc8
Argana,63c671a22bc04fb7d8080f5e
Clap The Sandwich,69ef7def8dbb43af20179267
Al Khal,69380263696acbac95e52457
Dar L’Mqila,69d9729756fa61178ee50cd6
Ayourino,6716555736133e50547a9aa1
Donatella,67694ef7d81f92dc93461add
Sunday Burger,61e03200a6dd536c66cfac96
Pain Chaud Sandwich,65dc4ac81ca40de9d9f3730e
Bo Sushi,64957d373fe52912d8cb20e6
Btb Sweets,69de45f4c6f05db448adb194
Toasty,698af099ffc8d2d5f9f30a91
Bean Lab Coffee&Co,6838757302a78acbbe69b8b3
Le Dak-Art,664743ddda7365d61976548e
O’Famous,6970d7a2662e9da53a233160
Bowl,619b58207b49d973fc71911b
Opéra,697dd2343b4e1486ebe7c1ac
Lilou Cuisine,6989bd04e76b67ad5ff1f08a
Espace Aba,696e0ea378655b00733d58be
Vape O'Dépanneur,662642ed281813309336fea8
Lyn Oriental Kitchen,6712368ff3708c61e5e781af
Charbogrill,65647ebb0d42511fe1f3b6b5
Le Resto D'Acoté,6915e24a1d7ed666f0b44d5c
Smash Burgers,66b4ac935645cec52ddc97c4
Délice Chicken Kenitra,6852c6a62677d9583209461f
Belati Brunch & Coffee,6a0590c0b4d6eb0954761191
Chicks,679b54a1c146451d17a916e2
Animal Souk,6544a77313f084536981aa15
Pizza Matteo,68c6cd092a9bd47cf2f0eed0
Red Rooster,69ca8aae6a2e78ebbbec7f09
Café Likes,66fd16b7e6144dcfc6c0b85a
Chowayat Essaada,6513ef6f75279d5b10a9901a
Silver Fork,699ae1bc0e5e0be1ad4a4901
Crepe Ti,696e4bb7d8f02d8f85bda0e4
Le 40,6641db7e0be5494c83051435
Tasty Crazy,6970b6a6662e9da53a20dd61
Snack Celia,69e8d492284b5a609d8fa073
Mr Toast,69e7590e175cc516f4bffbdb
Valley,654b5a13a9007a9717ca0539
Master,69d7ae740ba02293b30e8081
Nomo Casa,67aa6ca404bd7da1537df673
Chhiwat Agadir,634571463046135df939d0c2
Pizzeria Silvia,66619f57fdf02c742b263dc9
By Tigemi,66c7391e6b271bd499786d55
Santos,6572e605260bdcfa7376fd38
Fes Sweet,699039ddde4d600289618662
Jasmin'S Yummies,66abbdbb3d8e6ca8b40ec76b
Tarbouche Grill & Juice,65dc4c60307dbb0149589b0a
Gum Gum Bubble,663cb7d7e6f1a1000bdfbfff
Italien Chef,65436a5b5d965b0f5cdb98d3
Grillade Ladide,69e5d8625202659e59d232d8
Friend'S Food,64620660349ef4e162a6e97e
Ô Dog Taxi Casa,65315d726ac2c7de6ab5973d
Remax,6426c1110399537feb64e0c1
Fresh Stop,69e9e2d3fd2660bab3f05141
Happy Chicken,6a0f1200e480d0243379728f
French Tacos Club,696e087e9a3fa904f5ff65b1
Ibilaz Good Food,64a52fbafc099bea2c9735eb
Bento Box,675b1329b6d12dd609ef3f73
Sweet Time,677d0fe89ada4adf3a88d5d9
Sweet Time Massira,6772c6dab62de39af97ffdb5
Koffee Kuento,6870d56bca436da62ca98349
Chef Alsham,65840091afb6777449d32fcc
Chawarmati,63ef3a4815794ef9bb61f339
Mister Crousti,69808e39f388ae737b74b291
Miyo,6984b8d3b9f6e01e4efa0d86
Casse-Croute A14,697a3299c087b90e5bbdce4e
Smash Or Pass,68ff59ca93132aecc92cbc53
Cafés Carrion Mega Mall,691da18e29d2031611ebc723
La Maison Du Hot Dog,69ca4c02c7391d84fa8b17b9
La Piz',645e03a0788dde1cf36cec69
Clap The Pasta,69f08154d023ef02c69a53f4
Crave A14,697b25bea5707f4cafea7855
Mamana Ice,6740bc17c0a0cbfe261e7442
City Coffee,694a4b768b80ea7d0f4a8f7c
Marrakchi,68936dbd37d77f76161c41c4
Les Délices De Nabila,64c779986309a12f5198a097
Chicken City,67fd14e552323cfae1c08a6a
La Table Asiatique,6633baeeff814407e5e5a18e
Breads-Sandwicherie & Crêperie,65a53677a07fa4a06c07ecd4
Zero Sugar Healthy Food,6659e293c329607206dbf346
Pizza King Five,6949152b2b9fd4dbd198ac98
La Table Barbecue,6513fbc02661fa48c9e54b51
Bocadillos Akhai,68ff7a363043a092d5391f60
Box De Fleurs,664e2afaef7997ecd2be3588
Big Bocadillos,69ea2218ffb9baafc0d0d605
Kiki'S,66a7b5ced163af01f48a21ca
Chocolatl Premium,676d1cb431af698ac5b3c73b
The Box Maitre Pizzaiolo,69e627dd09b4ec241aacad64
Top Pizza Napoli,664c59217d16e8586d223026
O'Charbon,64be66396807f8fdb45c0425
Panelo,6a04324bd0a63090d485a931
The Empire Patisserie,69943a1126dc08fbcc002f5d
Technostore.Ma,6486df146b05c085967df733
Snack Aboimran,64c796764c986e2bc8387dad
Sym'S Fantasy,67a5e9dc8d7103b6acb88309
Snack 43,6895d60610d9d7b28d56d4f2
Toque Rouge,6669766a91cc9ee618cabf1f
Skyphone,677b9c13c4981e1924e5e8e0
L'Ombrina,65b78d1b239b13831d68b022
Two R,6194ecede46add002e741ba8
Le Relais,66b4975b326a28776fc90ddf
Ghasan Coffee,69d8e9d08f1d4e580fbf740a
Kakou Kebab,6765952ed259ec85c1d7c378
Capital Vape,681b486dca8d78a4c0666ae6
L'Usine A Crêpes,66e409ea3476ad65adc1f2f2
Cake & Break,6462000fd901c84e577a083a
Café Restaurant The Frame,6627777898469f032ae39f69
Café Chafia,697b212846aeaf90858c63db
Lh Pâtisserie,67c8490eec361e4e18b233f2
La Baguette Farcie Du Relais,65a8ea20aa463f321b3f9130
Jardin De Nissrine,681494a2b2836a34fcc7fed2
La Creperia,6697ad34ae78ca459b19913f
Chicken Street,66b48f5e686304d685a1c39b
Chef Kunafa,61bcb7151b969e36c2b8dea6
Burger Glory,654b8b75d5edee01e0c8497b
M.Food,64be40790c28df03e3b3dad1
Menyadi,68d509d49a3620c73d27bd0f
Ms Krabs,672cd0915f4abc822d0b0f99
Cococ Chicken,69e9fc69281fea1403ea55c5
